#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
1.113927,151,1429.28453
10.837272,151,1429.28453
13.601344,151,1429.28453
11.140126,151,1446.699585
14.846813,151,1446.883923
13.761572,151,1446.883923
13.416431,151,1446.883923
19.523077,151,1455.660187
11.805556,151,1455.867969
16.083073,151,1455.867969
11.306132,151,1455.867969
11.87992,151,1464.756487
19.637333,151,1464.940284
7.0119944,151,1464.940284
8.661757,151,1464.940284
13.260822,151,1473.619203
10.483356,151,1473.802579
11.624149,151,1473.802579
10.930513,151,1473.802579
5.67396,151,1482.660889
-21.98954,151,1482.874679
12.1273985,151,1482.874679
10.241252,151,1482.874679
-44.625095,151,1491.57846
-44.801384,151,1491.81366
18.861393,151,1491.81366
9.069673,151,1491.81366
10.0204525,151,1500.524081
15.004067,151,1500.707903
9.605736,151,1500.707903
14.170775,151,1500.707903
13.750206,151,1509.469986
10.463216,151,1509.664794
8.438407,151,1509.664794
14.974153,151,1509.664794
23.72058,151,1518.406306
16.834778,151,1518.606187
-58.647545,151,1518.606187
9.255092,151,1518.606187
11.353427,151,1527.278347
13.912564,151,1527.414713
10.8915825,151,1527.414713
13.93719,151,1527.414713
-33.890675,151,1536.280088
8.670545,151,1536.449427
10.070885,151,1536.449427
-16.60867,151,1536.449427
18.553062,151,1545.193735
11.29451,151,1545.378015
-33.83616,151,1545.378015
9.061486,151,1545.378015
10.93144,151,1554.326028
10.642225,151,1554.508816
15.616625,151,1554.508816
14.191082,151,1554.508816
-37.22633,150,1576.402463
9.971452,150,1576.602774
12.955582,150,1576.602774
15.042879,150,1576.602774
10.224113,151,1585.345492
13.174659,151,1585.546314
13.975415,151,1585.546314
-14.951291,151,1585.546314
8.827858,151,1594.304197
10.187202,151,1594.502987
12.730447,151,1594.503985
12.3507805,151,1594.503985
13.7855,151,1603.258458
7.7995696,151,1603.453227
8.468037,151,1603.453227
12.771417,151,1603.453227
11.279051,151,1612.268125
4.642847,151,1612.419459
13.164376,151,1612.419459
8.698027,151,1612.419459
13.854746,151,1621.215804
12.322054,151,1621.374093
8.987565,151,1621.374093
15.085522,151,1621.374093
13.466396,151,1630.144189
9.725284,151,1630.376485
11.258081,151,1630.376485
14.620967,151,1630.376485
16.272099,151,1639.056488
12.35533,151,1639.25628
